TotalReaction,Displacement
0,0
-27681.44900015338,0.640337
-27683.927600262265,0.640406
-27686.46020026178,0.640475
-27688.981800261292,0.640544
-27691.522400260812,0.640613
-27694.001100260324,0.640682
-27696.509600259844,0.640751
-27699.05420025937,0.640821
-27701.55290025889,0.64089
-27704.064500258406,0.640959
-27706.584100257933,0.641028
-27709.136700257455,0.641097
-27711.626400256977,0.641166
-27714.1559002565,0.641235
-27716.67460025602,0.641304
-27719.168200255554,0.641373
-27721.714800255075,0.641442
-27724.20900025461,0.641511
-27726.690200254132,0.64158
-27729.238500253665,0.641649
-27731.766600253195,0.641718
-27734.254800252722,0.641787
-27736.80810025225,0.641856
-27739.31720025177,0.641925
-27741.80640025131,0.641994
-27744.341600250842,0.642063
-27746.87680025038,0.642132
-27749.35900024992,0.642201
-27751.868200249457,0.64227
-27754.418400248996,0.642339
-27756.907600248538,0.642408
-27759.44170024808,0.642477
-27761.927900247625,0.642546
-27764.47810024716,0.642615
-27766.98630024671,0.642684
-27769.519400246256,0.642753
-27772.048600245802,0.642822
-27774.553800245343,0.642891
-27777.02700024489,0.64296
-27779.534100244433,0.643029
-27782.056300243985,0.643098
-27784.598500243537,0.643167
-27787.11570024309,0.643236
-27789.625800242648,0.643305
-27792.144900242198,0.643374
-27794.656100241747,0.643443
-27797.1843002413,0.643512
-27799.70250024086,0.643581
-27802.21450024041,0.64365
-27804.715700239973,0.643719
-27807.22390023953,0.643788
-27809.764000239087,0.643857
-27812.293200238648,0.643926
-27814.781300238214,0.643996
-27817.303400237768,0.644065
-27819.842600237338,0.644134
-27822.317700236894,0.644203
-27824.856900236464,0.644272
-27827.377900236028,0.644341
-27829.871100235596,0.64441
-27832.379200235162,0.644479
-27834.888400234722,0.644548
-27837.4455002343,0.644617
-27839.95770023386,0.644686
-27842.476700233434,0.644755
-27844.98590023301,0.644824
-27847.48220023302,0.644893
-27849.999100232457,0.644962
-27852.54290023203,0.645031
-27855.068700231604,0.6451
-27857.546500231176,0.645169
-27860.07540023075,0.645239
-27862.623200230326,0.645308
-27865.1351002299,0.645377
-27867.643800229478,0.645446
-27870.173600229064,0.645515
-27872.660500228638,0.645584
-27875.177300228217,0.645653
-27877.699100227805,0.645723
-27880.205900227378,0.645792
-27882.71070022697,0.645861
-27885.262500226552,0.64593
-27887.780300226124,0.645999
-27890.270100225716,0.646068
-27892.7800002253,0.646137
-27895.297700224884,0.646207
-27897.836500224475,0.646276
-27900.334300224058,0.646345
-27902.862100223647,0.646414
-27905.38790022324,0.646483
-27907.86970022283,0.646552
-27910.400400222417,0.646621
-27912.87820022201,0.646691
-27915.444000221607,0.64676
-27917.9778002212,0.646829
-27920.455600220797,0.646898
-27923.000400220233,0.646967
-27925.488200219814,0.647036
-27928.017900219405,0.647105
-27930.537700219003,0.647175
-27933.023500218602,0.647244
