step,time,disp_X,baseShear_X
0,0.06967078778852437,0.018752644201971914,0.6967078778852789
1,-0.15468480919985017,-0.03124735579802809,-1.5468480919985028
2,-0.3790377536192397,-0.0812473557980281,-3.7903775361923975
3,-0.6033680521297795,-0.13124735579802807,-6.033680521297791
4,-0.8262187603833474,-0.18124735579802806,-8.262187603833477
5,-1.0436710922267232,-0.23124735579802805,-10.436710922267226
6,-1.243646555161692,-0.28124735579802806,-12.436465551616916
7,-1.429686889168846,-0.33124735579802805,-14.296868891688444
8,-1.6018843874320896,-0.38124735579802804,-16.018843874320897
9,-1.7628434289641628,-0.43124735579802803,-17.628434289641653
10,-1.910983439397622,-0.481247355798028,-19.10983439397621
11,-2.0448881037399143,-0.5312473557980281,-20.448881037399154
12,-2.165922711121703,-0.5812473557980281,-21.659227111217046
13,-2.2769741772655085,-0.6312473557980282,-22.769741772655088
14,-2.3789274601008596,-0.6812473557980282,-23.78927460100859
15,-2.4730026052650302,-0.7312473557980282,-24.730026052650285
16,-2.559865159458637,-0.7812473557980283,-25.598651594586354
17,-2.641086644054985,-0.8312473557980283,-26.41086644054986
18,-2.717240800105368,-0.8812473557980284,-27.172408001053697
19,-2.7878526680045708,-0.9312473557980284,-27.87852668004571
20,-2.8536840364511886,-0.9812473557980285,-28.536840364511892
21,-2.9151881210238817,-1.0312473557980284,-29.151881210238816
22,-2.972824097510598,-1.0812473557980284,-29.728240975105997
23,-3.026780862060325,-1.1312473557980285,-30.26780862060324
24,-3.077300803724025,-1.1812473557980285,-30.773008037240288
25,-3.124888602413065,-1.2312473557980286,-31.24888602413065
26,-3.169705611264042,-1.2812473557980286,-31.697056112640425
27,-3.212115403709826,-1.3312473557980287,-32.12115403709829
28,-3.2524674433477085,-1.3812473557980287,-32.52467443347711
29,-3.291012659890763,-1.4312473557980288,-32.91012659890766
30,-3.3278231558100955,-1.4812473557980288,-33.27823155810098
31,-3.362862845909637,-1.5312473557980288,-33.62862845909638
32,-3.3964523198507672,-1.5812473557980289,-33.9645231985077
33,-3.428641282958892,-1.631247355798029,-34.28641282958894
34,-3.459318501539495,-1.681247355798029,-34.59318501539494
35,-3.4886678423738053,-1.731247355798029,-34.88667842373805
36,-3.516884169903978,-1.781247355798029,-35.168841699039746
37,-3.5437180045869248,-1.831247355798029,-35.437180045869255
38,-3.5696331919728688,-1.8812473557980292,-35.69633191972869
39,-3.5944603654695855,-1.9312473557980292,-35.94460365469582
40,-3.618315849548706,-1.9812473557980292,-36.183158495487056
41,-3.641383395506685,-2.031247355798029,-36.41383395506687
42,-3.6634864758935466,-2.0812473557980287,-36.634864758935485
43,-3.684922821990385,-2.1312473557980285,-36.84922821990385
44,-3.7056626369806063,-2.1812473557980283,-37.05662636980606
45,-3.725685799869806,-2.231247355798028,-37.25685799869805
46,-3.745027776432605,-2.281247355798028,-37.450277764326025
47,-3.7637150402162667,-2.3312473557980278,-37.637150402162675
48,-3.781796010232118,-2.3812473557980276,-37.81796010232118
49,-3.7993447386327057,-2.4312473557980274,-37.993447386327055
50,-3.816305958549761,-2.4812473557980272,-38.16305958549759
51,-3.832828109125162,-2.531247355798027,-38.32828109125161
52,-3.848557322976144,-2.581247355798027,-38.48557322976146
53,-3.8640036448791832,-2.6312473557980267,-38.640036448791854
54,-3.878766058171762,-2.6812473557980265,-38.78766058171759
55,-3.893280810287489,-2.7312473557980264,-38.93280810287489
56,-3.9071259704749575,-2.781247355798026,-39.071259704749586
57,-3.9207469554049355,-2.831247355798026,-39.20746955404934
58,-3.933664636246859,-2.881247355798026,-39.33664636246858
59,-3.946387219752754,-2.9312473557980256,-39.46387219752756
60,-3.958474094720264,-2.9812473557980255,-39.58474094720265
61,-3.9703504017902933,-3.0312473557980253,-39.7035040179029
62,-3.9818514181086426,-3.081247355798025,-39.8185141810864
63,-3.9929839972092767,-3.131247355798025,-39.929839972092715
64,-4.00377887102779,-3.1812473557980248,-40.037788710277944
65,-4.014099230285841,-3.2312473557980246,-40.14099230285845
66,-4.0243730288870605,-3.2812473557980244,-40.243730288870694
67,-4.0340701864409985,-3.3312473557980242,-40.34070186441002
68,-4.043710299003215,-3.381247355798024,-40.43710299003214
69,-4.052913026999787,-3.431247355798024,-40.52913026999787
70,-4.0616693354400475,-3.4812473557980237,-40.616693354400475
71,-4.070189052415446,-3.5312473557980235,-40.70189052415447
72,-4.078494752255579,-3.5812473557980233,-40.784947522555804
73,-4.08634471429763,-3.631247355798023,-40.86344714297629
74,-4.093962085612181,-3.681247355798023,-40.93962085612179
75,-4.101245316864071,-3.731247355798023,-41.012453168640704
76,-4.108196512126476,-3.7812473557980226,-41.08196512126475
77,-4.114981392807763,-3.8312473557980224,-41.14981392807765
78,-4.121354528416108,-3.8812473557980223,-41.213545284161064
79,-4.127534068335195,-3.931247355798022,-41.27534068335194
80,-4.133402609548102,-3.981247355798022,-41.33402609548102
81,-4.139173973060486,-4.031247355798023,-41.39173973060488
82,-4.144252046372055,-4.0812473557980224,-41.442520463720555
83,-4.149210777551589,-4.131247355798022,-41.49210777551583
84,-4.153829464427353,-4.181247355798022,-41.53829464427351
85,-4.158151732492847,-4.231247355798022,-41.58151732492848
86,-4.1622293828221135,-4.281247355798022,-41.62229382822112
87,-4.165786029766455,-4.331247355798022,-41.65786029766451
88,-4.169105099447963,-4.381247355798021,-41.69105099447967
89,-4.172062146715159,-4.431247355798021,-41.720621467151545
90,-4.174627085832836,-4.481247355798021,-41.746270858328344
91,-4.176991842631661,-4.531247355798021,-41.769918426316586
92,-4.178840039094942,-4.581247355798021,-41.78840039094941
93,-4.180463250148218,-4.6312473557980205,-41.804632501482125
94,-4.181603142022225,-4.68124735579802,-41.81603142022224
95,-4.182267130708229,-4.73124735579802,-41.82267130708229
96,-4.182283775025483,-4.78124735579802,-41.82283775025478
97,-4.181842591765755,-4.83124735579802,-41.818425917657535
98,-4.181291567620005,-4.88124735579802,-41.81291567620004
99,-4.179087575524674,-4.931247355798019,-41.79087575524676
100,-4.176582819503435,-4.981247355798019,-41.76582819503433
101,-4.173230370907301,-5.031247355798019,-41.732303709073
102,-4.1687644682650395,-5.081247355798019,-41.68764468265036
103,-4.163827843384482,-5.131247355798019,-41.6382784338448
104,-4.158261734753501,-5.1812473557980185,-41.58261734753505
105,-4.15115219242516,-5.231247355798018,-41.51152192425157
106,-4.143877108075111,-5.281247355798018,-41.4387710807511
107,-4.136100978744461,-5.331247355798018,-41.361009787444615
108,-4.126626063595252,-5.381247355798018,-41.26626063595254
109,-4.118303695976235,-5.431247355798018,-41.18303695976235
110,-4.108881625181953,-5.4812473557980175,-41.088816251819495
111,-4.097660409291253,-5.531247355798017,-40.9766040929125
112,-4.086337532542624,-5.581247355798017,-40.86337532542623
113,-4.0751788033215,-5.631247355798017,-40.751788033215
114,-4.063200714061987,-5.681247355798017,-40.63200714061981
115,-4.050894095059423,-5.731247355798017,-40.508940950594265
116,-4.038330371387952,-5.781247355798016,-40.38330371387955
117,-4.025098089122311,-5.831247355798016,-40.25098089122309
118,-4.012093418446692,-5.881247355798016,-40.1209341844669
119,-3.99956342958628,-5.931247355798016,-39.99563429586278
120,-3.984110666053549,-5.981247355798016,-39.84110666053549
121,-3.9704298934455884,-6.0312473557980155,-39.704298934455956
122,-3.956054022578718,-6.081247355798015,-39.560540225787214
123,-3.940966682864524,-6.131247355798015,-39.40966682864526
124,-3.9264560270947895,-6.181247355798015,-39.2645602709479
125,-3.9121768894827316,-6.231247355798015,-39.121768894827355
126,-3.8960886921321616,-6.281247355798015,-38.960886921321595
127,-3.8810466321754253,-6.3312473557980145,-38.81046632175424
128,-3.865964303218824,-6.381247355798014,-38.65964303218822
129,-3.85121039230269,-6.431247355798014,-38.51210392302694
130,-3.8364372345904916,-6.481247355798014,-38.36437234590497
131,-3.820985705869764,-6.531247355798014,-38.20985705869764
132,-3.8072307615471783,-6.581247355798014,-38.07230761547175
133,-3.7909605471585226,-6.631247355798013,-37.90960547158524
134,-3.777104991620565,-6.681247355798013,-37.771049916205705
135,-3.7627088108852043,-6.731247355798013,-37.62708810885206
136,-3.7492413643540683,-6.781247355798013,-37.49241364354082
137,-3.735848607894989,-6.831247355798013,-37.35848607894991
138,-3.7210781345607167,-6.8812473557980125,-37.210781345607145
139,-3.7078971858031404,-6.931247355798012,-37.078971858031395
140,-3.692306161252061,-6.981247355798012,-36.923061612520605
141,-3.676684492047663,-7.031247355798012,-36.766844920476636
142,-3.664728256335811,-7.081247355798012,-36.64728256335836
143,-3.6514525387072587,-7.131247355798012,-36.514525387072545
144,-3.641843618944515,-7.181247355798011,-36.41843618944465
145,-3.622331707187264,-7.231247355798011,-36.22331707187263
146,-3.609613275607698,-7.281247355798011,-36.096132756076976
147,-3.597622887091561,-7.331247355798011,-35.97622887091561
148,-3.582527519005916,-7.381247355798011,-35.825275190059145
149,-3.5701191633626754,-7.4312473557980105,-35.70119163362675
150,-3.5581502240930356,-7.48124735579801,-35.58150224093036
151,-3.544147398934591,-7.53124735579801,-35.44147398934589
152,-3.5324178650836826,-7.58124735579801,-35.32417865083681
153,-3.5185503877630686,-7.63124735579801,-35.18550387763069
154,-3.5056062867753246,-7.68124735579801,-35.05606286775323
155,-3.4932031047919203,-7.7312473557980095,-34.93203104791918
156,-3.4837314563045085,-7.781247355798009,-34.83731456304504
157,-3.4689136577937303,-7.831247355798009,-34.68913657793727
158,-3.4566823675501253,-7.881247355798009,-34.566823675501276
159,-3.444657748525802,-7.931247355798009,-34.44657748525799
160,-3.4334660392237177,-7.981247355798009,-34.33466039223712
161,-3.4203393442360768,-8.031247355798008,-34.20339344236071
162,-3.408585625350198,-8.08124735579801,-34.08585625350197
163,-3.3966654665791114,-8.13124735579801,-33.9666546657911
164,-3.386034702160754,-8.18124735579801,-33.86034702160756
165,-3.374299580643221,-8.231247355798011,-33.742995806432134
166,-3.3634595537485383,-8.281247355798012,-33.63459553748539
167,-3.3518592869993196,-8.331247355798013,-33.51859286999314
168,-3.340676905960344,-8.381247355798013,-33.406769059603405
169,-3.3301446748591963,-8.431247355798014,-33.301446748592
170,-3.3196779358139925,-8.481247355798015,-33.19677935813993
171,-3.308773470306365,-8.531247355798016,-33.08773470306355
172,-3.298029744856581,-8.581247355798016,-32.98029744856578
173,-3.288596806703696,-8.631247355798017,-32.8859680670369
174,-3.2779533733473194,-8.681247355798018,-32.77953373347319
175,-3.2675216901642137,-8.731247355798018,-32.67521690164215
176,-3.2571110964915935,-8.781247355798019,-32.57111096491594
177,-3.2475618930251366,-8.83124735579802,-32.47561893025133
178,-3.237533286703794,-8.88124735579802,-32.375332867037926
179,-3.228287796634831,-8.931247355798021,-32.28287796634828
180,-3.218598059988933,-8.981247355798022,-32.18598059988934
181,-3.209488461823481,-9.031247355798023,-32.09488461823482
182,-3.1998160590476026,-9.081247355798023,-31.998160590476033
183,-3.190549278640539,-9.131247355798024,-31.905492786405418
184,-3.1821437392590224,-9.181247355798025,-31.82143739259021
185,-3.1732030565035294,-9.231247355798025,-31.732030565035345
186,-3.1646369420796834,-9.281247355798026,-31.646369420796812
187,-3.1557059662386253,-9.331247355798027,-31.55705966238624
188,-3.146914572289023,-9.381247355798028,-31.469145722890232
189,-3.138528770947868,-9.431247355798028,-31.385287709478668
190,-3.1304275746058607,-9.481247355798029,-31.30427574605858
191,-3.122064318807784,-9.53124735579803,-31.220643188077798
192,-3.113660229090811,-9.58124735579803,-31.13660229090812
