mode,lambda,f_Hz,T_s,PRMx,PRMy,PRMz,PRMx_cum,PRMy_cum,PRMz_cum
1,958.8524,4.9283,0.2029,8.0626,3.0822,0.0013,8.0626,3.0822,0.0013
2,1060.8943,5.1839,0.1929,2.2027,2.5133,0.0004,10.2653,5.5955,0.0017
3,1874.0921,6.8899,0.1451,19.3138,0.1720,0.0124,29.5791,5.7675,0.0141
4,2000.6786,7.1188,0.1405,1.9129,7.2431,0.0066,31.4920,13.0107,0.0207
5,2602.8733,8.1198,0.1232,0.7412,0.0161,0.0617,32.2332,13.0268,0.0824
6,2883.2053,8.5459,0.1170,0.1300,7.4401,0.0006,32.3632,20.4669,0.0830
7,3164.9800,8.9538,0.1117,7.8204,0.9113,0.0098,40.1837,21.3782,0.0929
8,3332.2378,9.1873,0.1088,0.0001,25.4401,0.0004,40.1838,46.8183,0.0932
9,3441.9906,9.3374,0.1071,7.9159,4.2517,0.0391,48.0996,51.0700,0.1323
10,4441.9223,10.6073,0.0943,0.0052,1.3237,0.0003,48.1048,52.3937,0.1326
