mode,lambda,f_Hz,T_s,PRMx,PRMy,PRMz,PRMx_cum,PRMy_cum,PRMz_cum
1,1321.7686,5.7863,0.1728,20.9848,3.2461,0.0002,20.9848,3.2461,0.0002
2,1675.5196,6.5147,0.1535,5.6623,5.6484,0.0013,26.6471,8.8945,0.0015
3,1901.0061,6.9392,0.1441,1.6838,7.5319,0.0057,28.3309,16.4264,0.0073
4,2223.1296,7.5042,0.1333,2.5000,1.8992,0.0430,30.8309,18.3256,0.0502
5,2722.9877,8.3051,0.1204,5.8353,3.3655,0.0186,36.6662,21.6912,0.0688
6,3074.8206,8.8253,0.1133,8.8222,0.4658,0.0079,45.4884,22.1570,0.0767
7,3269.6541,9.1006,0.1099,2.7126,18.4370,0.0000,48.2009,40.5940,0.0767
8,3645.5244,9.6095,0.1041,2.6256,7.4669,0.0065,50.8265,48.0609,0.0832
9,3943.5761,9.9946,0.1001,0.8794,6.7070,0.0000,51.7060,54.7679,0.0833
10,4515.6864,10.6950,0.0935,0.0290,0.4294,0.0039,51.7349,55.1973,0.0872
