mode,lambda,f_Hz,T_s,PRMx,PRMy,PRMz,PRMx_cum,PRMy_cum,PRMz_cum
1,1321.7686,5.7863,0.1728,20.9848,3.2461,0.0002,20.9848,3.2461,0.0002
2,1675.5196,6.5147,0.1535,5.6623,5.6484,0.0013,26.6471,8.8945,0.0015
3,1901.0061,6.9392,0.1441,1.6838,7.5319,0.0057,28.3309,16.4264,0.0073
4,2223.1296,7.5042,0.1333,2.5000,1.8992,0.0430,30.8309,18.3256,0.0502
5,2722.9877,8.3051,0.1204,5.8353,3.3655,0.0186,36.6662,21.6912,0.0688
6,3074.8206,8.8253,0.1133,8.8222,0.4658,0.0079,45.4884,22.1570,0.0767
7,3269.6541,9.1006,0.1099,2.7126,18.4370,0.0000,48.2009,40.5940,0.0767
8,3645.5244,9.6095,0.1041,2.6256,7.4669,0.0065,50.8265,48.0609,0.0832
9,3943.5761,9.9946,0.1001,0.8794,6.7070,0.0000,51.7060,54.7679,0.0833
10,4515.6864,10.6950,0.0935,0.0290,0.4294,0.0039,51.7349,55.1973,0.0872
11,4877.7995,11.1156,0.0900,0.9454,0.0398,0.0248,52.6803,55.2371,0.1120
12,5872.3537,12.1962,0.0820,0.0252,0.3183,0.0005,52.7055,55.5553,0.1125
13,6192.3669,12.5242,0.0798,0.0000,0.0022,0.0040,52.7055,55.5575,0.1165
14,6301.7266,12.6343,0.0791,1.0789,0.8327,0.0348,53.7844,56.3902,0.1514
15,6652.1212,12.9808,0.0770,0.0851,0.0315,0.0144,53.8695,56.4217,0.1658
16,7382.0641,13.6744,0.0731,0.0928,0.7424,0.0194,53.9623,57.1641,0.1852
17,7810.8862,14.0660,0.0711,0.0272,1.8675,0.0184,53.9895,59.0316,0.2035
18,7915.2587,14.1597,0.0706,2.6973,2.7256,0.0637,56.6868,61.7572,0.2672
19,7944.7112,14.1860,0.0705,1.2858,0.8335,0.0638,57.9726,62.5907,0.3310
20,8588.6594,14.7497,0.0678,0.1950,1.3668,0.0105,58.1675,63.9574,0.3416
21,9576.4093,15.5748,0.0642,0.0596,0.8516,0.0469,58.2271,64.8091,0.3884
22,9699.4289,15.6745,0.0638,0.7018,0.0034,0.0000,58.9290,64.8125,0.3884
23,10552.3438,16.3491,0.0612,0.1395,0.3306,0.0144,59.0685,65.1431,0.4028
24,11195.1431,16.8397,0.0594,0.0043,5.2184,0.2289,59.0727,70.3614,0.6317
25,11835.2332,17.3144,0.0578,0.8791,0.2410,0.0095,59.9518,70.6025,0.6413
26,12032.1500,17.4579,0.0573,0.0159,0.1329,2.6937,59.9678,70.7353,3.3350
27,12508.8895,17.8004,0.0562,0.5112,0.6407,0.0000,60.4790,71.3761,3.3350
28,12950.0996,18.1116,0.0552,3.0614,0.0006,0.3304,63.5404,71.3767,3.6654
29,13593.3538,18.5560,0.0539,0.0304,0.7294,5.4999,63.5708,72.1060,9.1653
30,13810.0950,18.7033,0.0535,7.4936,1.8728,1.5738,71.0644,73.9788,10.7392
31,14004.1273,18.8342,0.0531,0.9479,0.2728,3.0378,72.0123,74.2516,13.7770
32,14188.0358,18.9575,0.0527,0.0928,0.6729,24.1008,72.1051,74.9245,37.8778
33,14607.3287,19.2356,0.0520,0.0125,0.3123,7.5463,72.1176,75.2368,45.4241
34,16108.1643,20.1996,0.0495,0.1647,0.5025,0.0173,72.2823,75.7392,45.4414
35,16166.9888,20.2365,0.0494,0.0122,0.0454,0.7155,72.2945,75.7846,46.1569
36,16468.4877,20.4243,0.0490,1.0306,0.2801,4.6549,73.3251,76.0646,50.8117
37,16793.8077,20.6250,0.0485,0.0069,0.9155,3.9433,73.3319,76.9802,54.7551
38,16865.0143,20.6687,0.0484,4.2378,0.8915,0.1910,77.5697,77.8717,54.9460
39,17355.7619,20.9673,0.0477,1.0472,0.2373,1.0491,78.6169,78.1090,55.9952
40,17458.4278,21.0292,0.0476,0.2623,0.0345,1.5324,78.8792,78.1434,57.5276
41,17836.3546,21.2556,0.0470,0.0175,0.4805,0.0308,78.8967,78.6239,57.5584
42,18933.2142,21.8994,0.0457,0.9207,0.1651,3.1476,79.8174,78.7890,60.7059
43,18974.2592,21.9231,0.0456,0.0151,0.2429,0.0014,79.8325,79.0320,60.7073
44,19792.4750,22.3908,0.0447,0.5523,0.0090,0.5470,80.3848,79.0409,61.2543
45,20413.9012,22.7396,0.0440,0.0884,0.9513,0.7796,80.4732,79.9922,62.0339
46,20979.7501,23.0526,0.0434,0.0340,0.0010,0.0441,80.5072,79.9932,62.0781
47,21131.7534,23.1360,0.0432,1.3531,0.1106,0.0078,81.8603,80.1039,62.0859
48,21592.0849,23.3866,0.0428,0.0110,0.2967,0.0210,81.8713,80.4006,62.1069
49,22009.8104,23.6118,0.0424,0.8632,0.5089,0.0357,82.7344,80.9095,62.1426
50,22827.8657,24.0466,0.0416,0.0384,0.0897,0.3144,82.7728,80.9992,62.4570
