element_index,damage_tension,damage_compression
0,0.00000000e+00,0.00000000e+00
1,0.00000000e+00,0.00000000e+00
2,0.00000000e+00,0.00000000e+00
3,0.00000000e+00,0.00000000e+00
4,0.00000000e+00,0.00000000e+00
5,0.00000000e+00,0.00000000e+00
6,0.00000000e+00,0.00000000e+00
7,0.00000000e+00,0.00000000e+00
8,4.68408000e-01,0.00000000e+00
9,0.00000000e+00,0.00000000e+00
10,0.00000000e+00,0.00000000e+00
11,0.00000000e+00,0.00000000e+00
12,0.00000000e+00,0.00000000e+00
13,0.00000000e+00,0.00000000e+00
14,8.35639000e-02,0.00000000e+00
15,0.00000000e+00,0.00000000e+00
16,0.00000000e+00,0.00000000e+00
17,0.00000000e+00,0.00000000e+00
18,0.00000000e+00,0.00000000e+00
19,0.00000000e+00,0.00000000e+00
20,9.57077000e-02,0.00000000e+00
21,0.00000000e+00,0.00000000e+00
22,1.50158000e-01,0.00000000e+00
23,8.93988000e-01,7.97613000e-02
24,7.23584000e-01,7.25119000e-02
25,9.18573000e-01,1.27454000e-01
26,9.99217000e-01,0.00000000e+00
27,7.48423000e-01,0.00000000e+00
28,0.00000000e+00,0.00000000e+00
29,0.00000000e+00,0.00000000e+00
30,1.23930000e-01,0.00000000e+00
31,9.96542000e-01,0.00000000e+00
32,0.00000000e+00,0.00000000e+00
33,0.00000000e+00,0.00000000e+00
34,1.89890000e-01,0.00000000e+00
35,4.58759000e-01,1.68069000e-02
36,3.59483000e-01,0.00000000e+00
37,0.00000000e+00,0.00000000e+00
38,9.76379000e-01,1.55033000e-01
39,0.00000000e+00,0.00000000e+00
40,5.06350000e-02,0.00000000e+00
41,5.22462000e-01,0.00000000e+00
42,5.13640000e-01,0.00000000e+00
43,0.00000000e+00,0.00000000e+00
44,0.00000000e+00,0.00000000e+00
45,0.00000000e+00,0.00000000e+00
46,0.00000000e+00,0.00000000e+00
47,0.00000000e+00,0.00000000e+00
48,7.30193000e-01,2.30684000e-03
49,0.00000000e+00,0.00000000e+00
50,0.00000000e+00,0.00000000e+00
51,0.00000000e+00,0.00000000e+00
52,9.66677000e-01,3.06022000e-01
53,0.00000000e+00,0.00000000e+00
54,0.00000000e+00,0.00000000e+00
55,0.00000000e+00,0.00000000e+00
56,0.00000000e+00,0.00000000e+00
57,0.00000000e+00,0.00000000e+00
