time_s,cumulative_dissipated_energy_J
0.0050,0.000000e+00
0.0100,1.402067e-04
0.0150,6.299817e-04
0.0200,1.729055e-03
0.0250,3.649741e-03
0.0300,6.541931e-03
0.0350,1.043147e-02
0.0400,1.503398e-02
0.0450,2.004697e-02
0.0500,2.494074e-02
0.0550,2.945012e-02
0.0600,3.322774e-02
0.0650,3.621635e-02
0.0700,3.847300e-02
0.0750,4.000674e-02
0.0800,4.074021e-02
0.0850,4.093714e-02
0.0900,4.211519e-02
0.0950,4.413350e-02
0.1000,4.676211e-02
0.1050,4.983968e-02
0.1100,5.310114e-02
0.1150,5.627854e-02
0.1200,5.903937e-02
0.1250,6.122068e-02
0.1300,6.271276e-02
0.1350,6.354470e-02
0.1400,6.381826e-02
0.1450,6.392567e-02
0.1500,6.420359e-02
0.1550,6.445598e-02
0.1600,6.454901e-02
0.1650,6.460383e-02
0.1700,6.469668e-02
0.1750,6.553924e-02
0.1800,6.774374e-02
0.1850,7.159539e-02
0.1900,7.706121e-02
0.1950,8.427776e-02
0.2000,9.317642e-02
0.2050,1.035060e-01
0.2100,1.139489e-01
0.2150,1.233618e-01
0.2200,1.305736e-01
0.2250,1.352937e-01
0.2300,1.371077e-01
0.2350,1.381070e-01
0.2400,1.415710e-01
0.2450,1.466357e-01
0.2500,1.521862e-01
0.2550,1.574792e-01
0.2600,1.617200e-01
0.2650,1.646565e-01
0.2700,1.662228e-01
0.2750,1.667216e-01
0.2800,1.669904e-01
0.2850,1.676479e-01
0.2900,1.681978e-01
0.2950,1.682028e-01
0.3000,1.688449e-01
0.3050,1.698399e-01
0.3100,1.708413e-01
0.3150,1.717995e-01
0.3200,1.723944e-01
0.3250,1.728227e-01
0.3300,1.753875e-01
0.3350,1.814379e-01
0.3400,1.912504e-01
0.3450,2.033820e-01
0.3500,2.142127e-01
0.3550,2.213892e-01
0.3600,2.234714e-01
0.3650,2.254580e-01
0.3700,2.303019e-01
0.3750,2.370550e-01
0.3800,2.446760e-01
0.3850,2.519589e-01
0.3900,2.574764e-01
0.3950,2.609669e-01
0.4000,2.629007e-01
0.4050,2.640420e-01
0.4100,2.645166e-01
0.4150,2.645397e-01
0.4200,2.645871e-01
0.4250,2.651031e-01
0.4300,2.665818e-01
0.4350,2.687396e-01
0.4400,2.706485e-01
0.4450,2.712466e-01
0.4500,2.719482e-01
0.4550,2.725564e-01
0.4600,2.733220e-01
0.4650,2.752461e-01
0.4700,2.767054e-01
0.4750,2.769144e-01
0.4800,2.770255e-01
0.4850,2.783735e-01
0.4900,2.823644e-01
0.4950,2.892924e-01
0.5000,2.979424e-01
0.5050,3.070296e-01
0.5100,3.154079e-01
0.5150,3.227177e-01
0.5200,3.289645e-01
0.5250,3.336456e-01
0.5300,3.364054e-01
0.5350,3.375010e-01
0.5400,3.377074e-01
0.5450,3.378006e-01
0.5500,3.379122e-01
0.5550,3.379493e-01
0.5600,3.381407e-01
0.5650,3.382991e-01
0.5700,3.383568e-01
0.5750,3.389772e-01
0.5800,3.406889e-01
0.5850,3.431083e-01
0.5900,3.447834e-01
0.5950,3.463412e-01
0.6000,3.522537e-01
0.6050,3.609149e-01
0.6100,3.686409e-01
0.6150,3.733339e-01
0.6200,3.754667e-01
0.6250,3.767960e-01
0.6300,3.776215e-01
0.6350,3.785118e-01
0.6400,3.826031e-01
0.6450,3.902404e-01
0.6500,4.000828e-01
0.6550,4.108791e-01
0.6600,4.212979e-01
0.6650,4.312112e-01
0.6700,4.398453e-01
0.6750,4.465578e-01
0.6800,4.506751e-01
0.6850,4.523471e-01
0.6900,4.526067e-01
0.6950,4.526192e-01
0.7000,4.529444e-01
0.7050,4.535850e-01
0.7100,4.543503e-01
0.7150,4.548670e-01
0.7200,4.555851e-01
0.7250,4.576695e-01
0.7300,4.594352e-01
0.7350,4.599888e-01
0.7400,4.604178e-01
0.7450,4.606134e-01
0.7500,4.625843e-01
0.7550,4.664290e-01
0.7600,4.712614e-01
0.7650,4.761455e-01
0.7700,4.801885e-01
0.7750,4.830527e-01
0.7800,4.845132e-01
0.7850,4.849690e-01
0.7900,4.850065e-01
0.7950,4.854579e-01
0.8000,4.866416e-01
0.8050,4.888123e-01
0.8100,4.915832e-01
0.8150,4.947487e-01
0.8200,4.984280e-01
0.8250,5.019307e-01
0.8300,5.043034e-01
0.8350,5.048677e-01
0.8400,5.061954e-01
0.8450,5.088664e-01
0.8500,5.117665e-01
0.8550,5.138474e-01
0.8600,5.142138e-01
0.8650,5.149203e-01
0.8700,5.151469e-01
0.8750,5.183731e-01
0.8800,5.236750e-01
0.8850,5.278337e-01
0.8900,5.286038e-01
0.8950,5.295908e-01
0.9000,5.297666e-01
0.9050,5.318582e-01
0.9100,5.340431e-01
0.9150,5.346217e-01
0.9200,5.359823e-01
0.9250,5.380180e-01
0.9300,5.389221e-01
0.9350,5.396749e-01
0.9400,5.408302e-01
0.9450,5.413428e-01
0.9500,5.413608e-01
0.9550,5.418693e-01
0.9600,5.426793e-01
0.9650,5.430997e-01
0.9700,5.447787e-01
0.9750,5.458118e-01
0.9800,5.467423e-01
0.9850,5.479194e-01
0.9900,5.485790e-01
0.9950,5.503877e-01
1.0000,5.508702e-01
1.0050,5.525162e-01
1.0100,5.552221e-01
1.0150,5.576961e-01
1.0200,5.590763e-01
1.0250,5.596290e-01
1.0300,5.596726e-01
1.0350,5.597871e-01
1.0400,5.608069e-01
1.0450,5.637239e-01
1.0500,5.686303e-01
1.0550,5.746765e-01
1.0600,5.799475e-01
1.0650,5.833746e-01
1.0700,5.847867e-01
1.0750,5.850147e-01
1.0800,5.850492e-01
1.0850,5.855950e-01
1.0900,5.866647e-01
1.0950,5.876497e-01
1.1000,5.882023e-01
1.1050,5.889852e-01
1.1100,5.908832e-01
1.1150,5.940759e-01
1.1200,5.973636e-01
1.1250,5.994650e-01
1.1300,6.000789e-01
1.1350,6.000981e-01
1.1400,6.005764e-01
1.1450,6.013541e-01
1.1500,6.020543e-01
1.1550,6.061620e-01
1.1600,6.133426e-01
1.1650,6.211148e-01
1.1700,6.262423e-01
1.1750,6.269318e-01
1.1800,6.290786e-01
1.1850,6.308150e-01
1.1900,6.309972e-01
1.1950,6.309984e-01
1.2000,6.313979e-01
1.2050,6.317197e-01
1.2100,6.330589e-01
1.2150,6.346535e-01
1.2200,6.356875e-01
1.2250,6.360980e-01
1.2300,6.384820e-01
1.2350,6.423052e-01
1.2400,6.457713e-01
1.2450,6.478766e-01
1.2500,6.489184e-01
1.2550,6.493629e-01
1.2600,6.495991e-01
1.2650,6.499305e-01
1.2700,6.500689e-01
1.2750,6.502157e-01
1.2800,6.505617e-01
1.2850,6.520030e-01
1.2900,6.533099e-01
1.2950,6.535736e-01
1.3000,6.536862e-01
1.3050,6.540095e-01
1.3100,6.540155e-01
1.3150,6.544758e-01
1.3200,6.545591e-01
1.3250,6.560438e-01
1.3300,6.578165e-01
1.3350,6.587206e-01
1.3400,6.588574e-01
1.3450,6.588588e-01
1.3500,6.588636e-01
1.3550,6.588771e-01
1.3600,6.590618e-01
1.3650,6.595534e-01
1.3700,6.598368e-01
1.3750,6.609598e-01
1.3800,6.634018e-01
1.3850,6.659578e-01
1.3900,6.674551e-01
1.3950,6.680739e-01
1.4000,6.686114e-01
1.4050,6.692455e-01
1.4100,6.701498e-01
1.4150,6.712620e-01
1.4200,6.716213e-01
1.4250,6.718840e-01
1.4300,6.726176e-01
1.4350,6.755562e-01
1.4400,6.787970e-01
1.4450,6.801650e-01
1.4500,6.806246e-01
1.4550,6.812741e-01
1.4600,6.815984e-01
1.4650,6.816839e-01
1.4700,6.817161e-01
1.4750,6.818374e-01
1.4800,6.827300e-01
1.4850,6.833658e-01
1.4900,6.851180e-01
1.4950,6.897286e-01
1.5000,6.945770e-01
1.5050,6.976742e-01
1.5100,6.991129e-01
1.5150,6.997690e-01
1.5200,7.002609e-01
1.5250,7.004634e-01
1.5300,7.019189e-01
1.5350,7.055939e-01
1.5400,7.100174e-01
1.5450,7.125399e-01
1.5500,7.128810e-01
1.5550,7.145619e-01
1.5600,7.158839e-01
1.5650,7.163935e-01
1.5700,7.165188e-01
1.5750,7.166020e-01
1.5800,7.166806e-01
