time_s,max_opening_m
0.0050,8.49032580e-04
0.0100,8.49052718e-04
0.0150,8.49105353e-04
0.0200,8.49201022e-04
0.0250,8.49350051e-04
0.0300,8.49570741e-04
0.0350,8.49856186e-04
0.0400,8.50178656e-04
0.0450,8.50513988e-04
0.0500,8.50808263e-04
0.0550,8.51043012e-04
0.0600,8.51199629e-04
0.0650,8.51286429e-04
0.0700,8.51331262e-04
0.0750,8.51354963e-04
0.0800,8.51391985e-04
0.0850,8.51443965e-04
0.0900,8.51493536e-04
0.0950,8.51511601e-04
0.1000,8.51451965e-04
0.1050,8.51299840e-04
0.1100,8.51057457e-04
0.1150,8.50742046e-04
0.1200,8.50393212e-04
0.1250,8.50036005e-04
0.1300,8.49700454e-04
0.1350,8.49396147e-04
0.1400,8.49119435e-04
0.1450,8.48860452e-04
0.1500,8.48610664e-04
0.1550,8.48382069e-04
0.1600,8.48210261e-04
0.1650,8.48120176e-04
0.1700,8.48153575e-04
0.1750,8.48322490e-04
0.1800,8.48636256e-04
0.1850,8.49082605e-04
0.1900,8.49610691e-04
0.1950,8.50181956e-04
0.2000,8.50728737e-04
0.2050,8.51234774e-04
0.2100,8.51691524e-04
0.2150,8.52099358e-04
0.2200,8.52451180e-04
0.2250,8.52738367e-04
0.2300,8.52944453e-04
0.2350,8.53059542e-04
0.2400,8.53055123e-04
0.2450,8.52914586e-04
0.2500,8.52614628e-04
0.2550,8.52159040e-04
0.2600,8.51587034e-04
0.2650,8.50929088e-04
0.2700,8.50235144e-04
0.2750,8.49527521e-04
0.2800,8.48849701e-04
0.2850,8.48224316e-04
0.2900,8.47679343e-04
0.2950,8.47217026e-04
0.3000,8.46848786e-04
0.3050,8.46600732e-04
0.3100,8.46526804e-04
0.3150,8.46646280e-04
0.3200,8.46961067e-04
0.3250,8.47447588e-04
0.3300,8.48050469e-04
0.3350,8.48752723e-04
0.3400,8.49545555e-04
0.3450,8.50437819e-04
0.3500,8.51420922e-04
0.3550,8.52460618e-04
0.3600,8.53430077e-04
0.3650,8.54226825e-04
0.3700,8.54650598e-04
0.3750,8.54639770e-04
0.3800,8.54200777e-04
0.3850,8.53432148e-04
0.3900,8.52564080e-04
0.3950,8.51710953e-04
0.4000,8.51016765e-04
0.4050,8.50477886e-04
0.4100,8.50022825e-04
0.4150,8.49583319e-04
0.4200,8.49048281e-04
0.4250,8.48403016e-04
0.4300,8.47696078e-04
0.4350,8.47001040e-04
0.4400,8.46476886e-04
0.4450,8.46188310e-04
0.4500,8.46217968e-04
0.4550,8.46563690e-04
0.4600,8.47159615e-04
0.4650,8.47929704e-04
0.4700,8.48701535e-04
0.4750,8.49396035e-04
0.4800,8.49932302e-04
0.4850,8.50340038e-04
0.4900,8.50736604e-04
0.4950,8.51199423e-04
0.5000,8.51816194e-04
