element_index,max_tensile_principal_strain,time_s,max_compressive_principal_strain,time_s
0,1.84372580e-04,7.9700,-4.34348351e-04,14.3100
1,1.85651563e-04,13.0050,-3.93938746e-04,14.3150
2,2.81460523e-04,12.4000,-2.82884816e-04,14.3100
3,2.06371421e-04,12.4050,-2.09016064e-04,12.4200
4,1.59541014e-04,13.0050,-3.77284691e-04,12.3700
5,1.66574361e-04,13.0050,-3.52854348e-04,14.3100
6,9.39551720e-05,14.3100,-3.22020265e-04,14.3050
7,2.43069358e-04,7.9700,-6.28492138e-04,14.3100
8,4.46292373e-04,13.0100,-7.27620375e-04,12.3650
9,2.06235034e-04,13.0050,-4.38731177e-04,12.3700
10,1.68397422e-04,12.4200,-2.94348314e-04,14.3100
11,2.72440667e-04,14.3150,-3.09099562e-04,12.4200
12,1.14412624e-04,12.4300,-2.70949803e-04,8.8050
13,2.32137772e-04,12.4150,-2.97120736e-04,14.3050
14,3.12924334e-04,12.4300,-3.02624069e-04,8.8050
15,1.95951601e-04,14.3150,-2.27242303e-04,14.3100
16,1.84300526e-04,12.4300,-2.32274033e-04,8.8050
17,1.81526921e-04,14.3150,-3.33332508e-04,8.8050
18,1.60845040e-04,13.0050,-3.57805406e-04,12.3700
19,7.69697518e-05,6.9650,-2.65542933e-04,14.7650
20,3.22795072e-04,7.8750,-1.75862798e-04,7.8700
21,1.67367928e-04,8.0100,-2.88814796e-04,12.4400
22,3.30812554e-04,12.3750,-2.30040535e-04,12.3800
23,1.44254879e-03,8.0200,-1.82883149e-03,14.3150
24,8.16191068e-04,7.9700,-1.71560542e-03,12.3700
25,1.69629191e-03,14.3200,-2.24481860e-03,14.3150
26,1.49017314e-02,14.3200,-9.27202639e-04,14.3550
27,8.90653588e-04,12.4500,-5.79689736e-04,14.6100
28,2.99846542e-04,12.4200,-6.66179726e-04,14.3100
29,2.20602257e-04,12.3750,-3.20596006e-04,12.3800
30,2.97731099e-04,12.3850,-2.38887227e-04,12.4550
