time_s,Rd_m,BS_N,BS_over_W,drift_ratio,BSx_N,BSy_N
0.0050,2.12572000e-04,-5.701134e+02,-6.432751e-05,1.40072307e-05,-5.701134e+02,4.408544e+00
0.0100,2.12429000e-04,-1.390820e+03,-1.569301e-04,1.39978079e-05,-1.390820e+03,1.023536e+01
0.0150,2.12163000e-04,-2.291699e+03,-2.585789e-04,1.39802800e-05,-2.291699e+03,1.367778e+01
0.0200,2.11757000e-04,-3.122453e+03,-3.523152e-04,1.39535271e-05,-3.122453e+03,2.425437e+01
0.0250,2.11211000e-04,-3.913029e+03,-4.415181e-04,1.39175489e-05,-3.913029e+03,4.432822e+01
0.0300,2.10534000e-04,-4.631107e+03,-5.225409e-04,1.38729386e-05,-4.631107e+03,7.221824e+01
0.0350,2.09744000e-04,-5.215826e+03,-5.885164e-04,1.38208823e-05,-5.215826e+03,1.001191e+02
0.0400,2.08895000e-04,-5.626373e+03,-6.348396e-04,1.37649383e-05,-5.626373e+03,1.234372e+02
0.0450,2.08027000e-04,-5.924291e+03,-6.684545e-04,1.37077422e-05,-5.924291e+03,1.452614e+02
0.0500,2.07218000e-04,-6.174016e+03,-6.966317e-04,1.36544339e-05,-6.174016e+03,1.655183e+02
0.0550,2.06500000e-04,-6.386944e+03,-7.206569e-04,1.36071220e-05,-6.386944e+03,1.796959e+02
0.0600,2.05919000e-04,-6.616907e+03,-7.466043e-04,1.35688376e-05,-6.616907e+03,1.788460e+02
0.0650,2.05477000e-04,-6.906209e+03,-7.792471e-04,1.35397124e-05,-6.906209e+03,1.609927e+02
0.0700,2.05158000e-04,-7.242090e+03,-8.171455e-04,1.35186922e-05,-7.242090e+03,1.231853e+02
0.0750,2.04950000e-04,-7.505406e+03,-8.468562e-04,1.35049862e-05,-7.505406e+03,6.853277e+01
0.0800,2.04852000e-04,-7.463293e+03,-8.421044e-04,1.34985286e-05,-7.463293e+03,7.028438e+00
0.0850,2.04879000e-04,-7.124441e+03,-8.038708e-04,1.35003078e-05,-7.124441e+03,-5.169649e+01
0.0900,2.05050000e-04,-6.653846e+03,-7.507723e-04,1.35115756e-05,-6.653846e+03,-9.365118e+01
0.0950,2.05365000e-04,-6.160849e+03,-6.951461e-04,1.35323323e-05,-6.160849e+03,-1.189707e+02
0.1000,2.05806000e-04,-5.760298e+03,-6.499507e-04,1.35613915e-05,-5.760298e+03,-1.345862e+02
0.1050,2.06360000e-04,-5.350057e+03,-6.036621e-04,1.35978968e-05,-5.350057e+03,-1.471453e+02
0.1100,2.07004000e-04,-4.778711e+03,-5.391955e-04,1.36403326e-05,-4.778711e+03,-1.663941e+02
0.1150,2.07722000e-04,-4.071976e+03,-4.594525e-04,1.36876445e-05,-4.071976e+03,-1.927915e+02
0.1200,2.08471000e-04,-3.300052e+03,-3.723542e-04,1.37369992e-05,-3.300052e+03,-2.294475e+02
0.1250,2.09225000e-04,-2.485934e+03,-2.804950e-04,1.37866833e-05,-2.485934e+03,-2.791802e+02
0.1300,2.09950000e-04,-1.630144e+03,-1.839338e-04,1.38344565e-05,-1.630144e+03,-3.384113e+02
0.1350,2.10642000e-04,-7.742927e+02,-8.736563e-05,1.38800552e-05,-7.742927e+02,-3.963801e+02
0.1400,2.11294000e-04,-6.486818e+01,-7.319260e-06,1.39230181e-05,-6.486818e+01,-4.288181e+02
0.1450,2.11899000e-04,4.199464e+02,4.738374e-05,1.39628840e-05,4.199464e+02,-4.273822e+02
0.1500,2.12436000e-04,6.151072e+02,6.940428e-05,1.39982691e-05,6.151072e+02,-3.897223e+02
0.1550,2.12885000e-04,5.091652e+02,5.745055e-05,1.40278555e-05,5.091652e+02,-3.219456e+02
0.1600,2.13205000e-04,7.226177e+01,8.153500e-06,1.40489416e-05,7.226177e+01,-2.382775e+02
0.1650,2.13364000e-04,-7.618375e+02,-8.596028e-05,1.40594188e-05,-7.618375e+02,-1.427573e+02
0.1700,2.13296000e-04,-1.968814e+03,-2.221468e-04,1.40549380e-05,-1.968814e+03,-4.113821e+01
0.1750,2.12979000e-04,-3.347051e+03,-3.776572e-04,1.40340496e-05,-3.347051e+03,6.478169e+01
0.1800,2.12417000e-04,-4.498155e+03,-5.075395e-04,1.39970171e-05,-4.498155e+03,1.737949e+02
0.1850,2.11640000e-04,-5.416005e+03,-6.111031e-04,1.39458174e-05,-5.416005e+03,2.881118e+02
0.1900,2.10706000e-04,-6.288102e+03,-7.095044e-04,1.38842724e-05,-6.288102e+03,4.061218e+02
0.1950,2.09639000e-04,-7.238700e+03,-8.167630e-04,1.38139634e-05,-7.238700e+03,5.207409e+02
0.2000,2.08489000e-04,-8.237226e+03,-9.294295e-04,1.37381853e-05,-8.237226e+03,6.139294e+02
0.2050,2.07294000e-04,-9.050818e+03,-1.021229e-03,1.36594419e-05,-9.050818e+03,6.751140e+02
0.2100,2.06161000e-04,-9.383137e+03,-1.058726e-03,1.35847839e-05,-9.383137e+03,6.892603e+02
0.2150,2.05154000e-04,-9.311892e+03,-1.050687e-03,1.35184286e-05,-9.311892e+03,6.582672e+02
0.2200,2.04371000e-04,-9.109066e+03,-1.027802e-03,1.34668336e-05,-9.109066e+03,5.890224e+02
0.2250,2.03844000e-04,-8.804003e+03,-9.933806e-04,1.34321074e-05,-8.804003e+03,4.876754e+02
0.2300,2.03632000e-04,-8.309084e+03,-9.375374e-04,1.34181379e-05,-8.309084e+03,3.680085e+02
0.2350,2.03758000e-04,-7.553342e+03,-8.522650e-04,1.34264405e-05,-7.553342e+03,2.423568e+02
0.2400,2.04249000e-04,-6.556346e+03,-7.397711e-04,1.34587945e-05,-6.556346e+03,1.315351e+02
0.2450,2.05091000e-04,-5.473816e+03,-6.176261e-04,1.35142773e-05,-5.473816e+03,3.954591e+01
0.2500,2.06207000e-04,-4.473457e+03,-5.047528e-04,1.35878151e-05,-4.473457e+03,-4.035376e+01
0.2550,2.07529000e-04,-3.534055e+03,-3.987574e-04,1.36749270e-05,-3.534055e+03,-1.173666e+02
0.2600,2.08915000e-04,-2.585478e+03,-2.917268e-04,1.37662562e-05,-2.585478e+03,-1.958696e+02
0.2650,2.10289000e-04,-1.688820e+03,-1.905543e-04,1.38567946e-05,-1.688820e+03,-2.747596e+02
0.2700,2.11509000e-04,-8.789717e+02,-9.917687e-05,1.39371853e-05,-8.789717e+02,-3.501133e+02
0.2750,2.12525000e-04,-1.027840e+02,-1.159741e-05,1.40041337e-05,-1.027840e+02,-4.192008e+02
0.2800,2.13286000e-04,8.093866e+02,9.132538e-05,1.40542791e-05,8.093866e+02,-4.794592e+02
0.2850,2.13794000e-04,1.779114e+03,2.007424e-04,1.40877532e-05,1.779114e+03,-5.291316e+02
0.2900,2.14055000e-04,2.434533e+03,2.746953e-04,1.41049516e-05,2.434533e+03,-5.661078e+02
0.2950,2.14057000e-04,2.575454e+03,2.905958e-04,1.41050834e-05,2.575454e+03,-5.912397e+02
0.3000,2.13787000e-04,2.181152e+03,2.461055e-04,1.40872920e-05,2.181152e+03,-6.074503e+02
0.3050,2.13259000e-04,1.587571e+03,1.791301e-04,1.40524999e-05,1.587571e+03,-6.108468e+02
0.3100,2.12564000e-04,1.294346e+03,1.460447e-04,1.40067036e-05,1.294346e+03,-5.875934e+02
0.3150,2.11770000e-04,1.119104e+03,1.262717e-04,1.39543837e-05,1.119104e+03,-5.277007e+02
0.3200,2.10957000e-04,3.444356e+02,3.886364e-05,1.39008118e-05,3.444356e+02,-4.230498e+02
0.3250,2.10111000e-04,-1.356952e+03,-1.531087e-04,1.38450654e-05,-1.356952e+03,-2.832613e+02
0.3300,2.09169000e-04,-4.088383e+03,-4.613038e-04,1.37829932e-05,-4.088383e+03,-1.306976e+02
0.3350,2.08104000e-04,-7.273923e+03,-8.207373e-04,1.37128161e-05,-7.273923e+03,2.369248e+01
0.3400,2.06951000e-04,-9.746920e+03,-1.099772e-03,1.36368402e-05,-9.746920e+03,1.708554e+02
0.3450,2.05788000e-04,-1.111568e+04,-1.254214e-03,1.35602054e-05,-1.111568e+04,3.119260e+02
0.3500,2.04811000e-04,-1.105557e+04,-1.247431e-03,1.34958270e-05,-1.105557e+04,4.440448e+02
0.3550,2.04125000e-04,-9.867266e+03,-1.113352e-03,1.34506236e-05,-9.867266e+03,5.650152e+02
0.3600,2.03896000e-04,-8.317676e+03,-9.385069e-04,1.34355339e-05,-8.317676e+03,6.391731e+02
0.3650,2.04159000e-04,-6.790022e+03,-7.661374e-04,1.34528640e-05,-6.790022e+03,6.516927e+02
0.3700,2.04931000e-04,-5.758951e+03,-6.497987e-04,1.35037342e-05,-5.758951e+03,6.111435e+02
0.3750,2.06182000e-04,-5.037340e+03,-5.683773e-04,1.35861677e-05,-5.037340e+03,5.348280e+02
0.3800,2.07832000e-04,-4.200157e+03,-4.739155e-04,1.36948929e-05,-4.200157e+03,4.307461e+02
0.3850,2.09806000e-04,-3.178745e+03,-3.586668e-04,1.38249678e-05,-3.178745e+03,2.938080e+02
0.3900,2.11887000e-04,-2.123981e+03,-2.396547e-04,1.39620933e-05,-2.123981e+03,1.314979e+02
0.3950,2.13921000e-04,-1.308148e+03,-1.476021e-04,1.40961218e-05,-1.308148e+03,-2.959948e+01
0.4000,2.15624000e-04,-9.629679e+02,-1.086544e-04,1.42083394e-05,-9.629679e+02,-1.344720e+02
0.4050,2.16909000e-04,-8.132566e+02,-9.176204e-05,1.42930132e-05,-8.132566e+02,-1.701182e+02
0.4100,2.17723000e-04,-3.528095e+02,-3.980850e-05,1.43466510e-05,-3.528095e+02,-1.226010e+02
0.4150,2.18114000e-04,4.713954e+02,5.318888e-05,1.43724155e-05,4.713954e+02,3.359423e+00
0.4200,2.18164000e-04,1.421508e+03,1.603928e-04,1.43757103e-05,1.421508e+03,1.745539e+02
0.4250,2.17875000e-04,2.149782e+03,2.425660e-04,1.43566669e-05,2.149782e+03,3.581486e+02
0.4300,2.17198000e-04,2.218481e+03,2.503175e-04,1.43120566e-05,2.218481e+03,4.856937e+02
0.4350,2.16083000e-04,1.652089e+03,1.864099e-04,1.42385847e-05,1.652089e+03,5.341165e+02
0.4400,2.14494000e-04,7.505436e+02,8.468595e-05,1.41338791e-05,7.505436e+02,4.876617e+02
0.4450,2.12477000e-04,-1.574519e+02,-1.776575e-05,1.40009708e-05,-1.574519e+02,3.606031e+02
0.4500,2.10238000e-04,-4.692267e+02,-5.294417e-05,1.38534340e-05,-4.692267e+02,1.908374e+02
0.4550,2.07950000e-04,-6.241891e+01,-7.042902e-06,1.37026684e-05,-6.241891e+01,9.096630e-01
0.4600,2.05962000e-04,8.325880e+02,9.394326e-05,1.35716710e-05,8.325880e+02,-1.691622e+02
0.4650,2.04407000e-04,1.642198e+03,1.852938e-04,1.34692058e-05,1.642198e+03,-3.007364e+02
0.4700,2.03411000e-04,1.288068e+03,1.453364e-04,1.34035753e-05,1.288068e+03,-3.761193e+02
0.4750,2.02938000e-04,-4.044123e+02,-4.563098e-05,1.33724074e-05,-4.044123e+02,-4.112645e+02
0.4800,2.02876000e-04,-3.180636e+03,-3.588802e-04,1.33683220e-05,-3.180636e+03,-4.522986e+02
0.4850,2.03158000e-04,-6.379614e+03,-7.198298e-04,1.33869041e-05,-6.379614e+03,-5.238518e+02
0.4900,2.03682000e-04,-8.852950e+03,-9.989034e-04,1.34214326e-05,-8.852950e+03,-6.447306e+02
0.4950,2.04404000e-04,-1.033817e+04,-1.166485e-03,1.34690081e-05,-1.033817e+04,-7.979619e+02
0.5000,2.05230000e-04,-1.060619e+04,-1.196727e-03,1.35234366e-05,-1.060619e+04,-9.347927e+02
0.5050,2.06120000e-04,-9.814470e+03,-1.107394e-03,1.35820823e-05,-9.814470e+03,-1.027242e+03
0.5100,2.07044000e-04,-8.320357e+03,-9.388094e-04,1.36429684e-05,-8.320357e+03,-1.036748e+03
0.5150,2.08042000e-04,-6.328529e+03,-7.140658e-04,1.37087306e-05,-6.328529e+03,-9.643661e+02
0.5200,2.09219000e-04,-4.286292e+03,-4.836344e-04,1.37862879e-05,-4.286292e+03,-8.330982e+02
0.5250,2.10618000e-04,-2.405771e+03,-2.714499e-04,1.38784737e-05,-2.405771e+03,-6.657513e+02
0.5300,2.12225000e-04,-1.028882e+03,-1.160917e-04,1.39843655e-05,-1.028882e+03,-4.991837e+02
0.5350,2.13942000e-04,-2.473665e+02,-2.791107e-05,1.40975056e-05,-2.473665e+02,-3.414146e+02
0.5400,2.15522000e-04,-1.390904e+01,-1.569396e-06,1.42016182e-05,-1.390904e+01,-1.844411e+02
0.5450,2.16839000e-04,-1.275874e+02,-1.439605e-05,1.42884006e-05,-1.275874e+02,-8.500526e+00
0.5500,2.17748000e-04,-1.179360e+02,-1.330705e-05,1.43482983e-05,-1.179360e+02,2.278009e+02
0.5550,2.18275000e-04,2.588172e+02,2.920308e-05,1.43830245e-05,2.588172e+02,5.371499e+02
