time_s,Rd_m,drift_ratio,BS_N,BS_over_W,BS_clean_N,BS_clean_over_W,spike_flag,cumulative_dissipated_energy_clean_J
0.0050,2.12572000e-04,1.40072307e-05,-5.701134e+02,-6.432751e-05,-5.733169e+02,-6.468897e-05,0,0.000000e+00
0.0100,2.12429000e-04,1.39978079e-05,-1.390820e+03,-1.569302e-04,-1.449641e+03,-1.635671e-04,0,1.446415e-04
0.0150,2.12163000e-04,1.39802800e-05,-2.291699e+03,-2.585789e-04,-2.298813e+03,-2.593816e-04,0,6.431860e-04
0.0200,2.11757000e-04,1.39535271e-05,-3.122453e+03,-3.523152e-04,-3.098171e+03,-3.495754e-04,0,1.738774e-03
0.0250,2.11211000e-04,1.39175489e-05,-3.913029e+03,-4.415181e-04,-3.830101e+03,-4.321612e-04,0,3.630192e-03
0.0300,2.10534000e-04,1.38729386e-05,-4.631107e+03,-5.225409e-04,-4.483515e+03,-5.058877e-04,0,6.444352e-03
0.0350,2.09744000e-04,1.38208823e-05,-5.215826e+03,-5.885164e-04,-5.054340e+03,-5.702955e-04,0,1.021180e-02
0.0400,2.08895000e-04,1.37649383e-05,-5.626373e+03,-6.348396e-04,-5.544835e+03,-6.256394e-04,0,1.471115e-02
0.0450,2.08027000e-04,1.37077422e-05,-5.924291e+03,-6.684545e-04,-5.961744e+03,-6.726804e-04,0,1.970501e-02
0.0500,2.07218000e-04,1.36544339e-05,-6.174016e+03,-6.966317e-04,-6.313614e+03,-7.123829e-04,0,2.467039e-02
0.0550,2.06500000e-04,1.36071220e-05,-6.386944e+03,-7.206569e-04,-6.607847e+03,-7.455821e-04,0,2.930920e-02
0.0600,2.05919000e-04,1.35688376e-05,-6.616907e+03,-7.466043e-04,-6.848202e+03,-7.727020e-04,0,3.321818e-02
0.0650,2.05477000e-04,1.35397124e-05,-6.906209e+03,-7.792471e-04,-7.033366e+03,-7.935946e-04,0,3.628601e-02
0.0700,2.05158000e-04,1.35186922e-05,-7.242090e+03,-8.171455e-04,-7.156904e+03,-8.075337e-04,0,3.854935e-02
0.0750,2.04950000e-04,1.35049862e-05,-7.505406e+03,-8.468562e-04,-7.208460e+03,-8.133509e-04,0,4.004335e-02
0.0800,2.04852000e-04,1.34985286e-05,-7.463293e+03,-8.421044e-04,-7.175719e+03,-8.096566e-04,0,4.074818e-02
0.0850,2.04879000e-04,1.35003078e-05,-7.124441e+03,-8.038708e-04,-7.046459e+03,-7.950719e-04,0,4.094018e-02
0.0900,2.05050000e-04,1.35115756e-05,-6.653846e+03,-7.507723e-04,-6.810221e+03,-7.684165e-04,0,4.212492e-02
0.0950,2.05365000e-04,1.35323323e-05,-6.160849e+03,-6.951460e-04,-6.459511e+03,-7.288449e-04,0,4.421490e-02
0.1000,2.05806000e-04,1.35613915e-05,-5.760298e+03,-6.499507e-04,-5.990848e+03,-6.759644e-04,0,4.696021e-02
0.1050,2.06360000e-04,1.35978968e-05,-5.350057e+03,-6.036621e-04,-5.406092e+03,-6.099846e-04,0,5.011716e-02
0.1100,2.07004000e-04,1.36403326e-05,-4.778711e+03,-5.391955e-04,-4.714271e+03,-5.319246e-04,0,5.337592e-02
0.1150,2.07722000e-04,1.36876445e-05,-4.071976e+03,-4.594526e-04,-3.933706e+03,-4.438512e-04,0,5.648054e-02
0.1200,2.08471000e-04,1.37369992e-05,-3.300052e+03,-3.723542e-04,-3.093814e+03,-3.490837e-04,0,5.911235e-02
0.1250,2.09225000e-04,1.37866833e-05,-2.485934e+03,-2.804950e-04,-2.235799e+03,-2.522715e-04,0,6.112161e-02
0.1300,2.09950000e-04,1.38344565e-05,-1.630144e+03,-1.839338e-04,-1.411529e+03,-1.592669e-04,0,6.244377e-02
0.1350,2.10642000e-04,1.38800552e-05,-7.742927e+02,-8.736563e-05,-6.802150e+02,-7.675058e-05,0,6.316751e-02
0.1400,2.11294000e-04,1.39230181e-05,-6.486818e+01,-7.319260e-06,-1.029986e+02,-1.162162e-05,0,6.342284e-02
0.1450,2.11899000e-04,1.39628840e-05,4.199464e+02,4.738374e-05,2.638940e+02,2.977591e-05,0,6.347151e-02
0.1500,2.12436000e-04,1.39982691e-05,6.151072e+02,6.940428e-05,3.763824e+02,4.246829e-05,0,6.364342e-02
0.1550,2.12885000e-04,1.40278555e-05,5.091652e+02,5.745055e-05,2.088593e+02,2.356619e-05,0,6.377481e-02
0.1600,2.13205000e-04,1.40489416e-05,7.226177e+01,8.153500e-06,-2.415807e+02,-2.725823e-05,0,6.378005e-02
0.1650,2.13364000e-04,1.40594188e-05,-7.618375e+02,-8.596028e-05,-9.538459e+02,-1.076251e-04,0,6.387508e-02
0.1700,2.13296000e-04,1.40549380e-05,-1.968814e+03,-2.221468e-04,-1.884740e+03,-2.126606e-04,0,6.397160e-02
0.1750,2.12979000e-04,1.40340496e-05,-3.347051e+03,-3.776572e-04,-2.973625e+03,-3.355225e-04,0,6.474165e-02
0.1800,2.12417000e-04,1.39970171e-05,-4.498155e+03,-5.075395e-04,-4.148863e+03,-4.681279e-04,0,6.674307e-02
0.1850,2.11640000e-04,1.39458174e-05,-5.416005e+03,-6.111032e-04,-5.334792e+03,-6.019396e-04,0,7.042746e-02
0.1900,2.10706000e-04,1.38842724e-05,-6.288102e+03,-7.095043e-04,-6.458149e+03,-7.286912e-04,0,7.593477e-02
0.1950,2.09639000e-04,1.38139634e-05,-7.238700e+03,-8.167630e-04,-7.453330e+03,-8.409803e-04,0,8.335654e-02
0.2000,2.08489000e-04,1.37381853e-05,-8.237226e+03,-9.294295e-04,-8.266363e+03,-9.327171e-04,0,9.239536e-02
0.2050,2.07294000e-04,1.36594419e-05,-9.050818e+03,-1.021229e-03,-8.857689e+03,-9.994381e-04,0,1.026270e-01
0.2100,2.06161000e-04,1.35847839e-05,-9.383137e+03,-1.058726e-03,-9.203806e+03,-1.038491e-03,0,1.128588e-01
0.2150,2.05154000e-04,1.35184286e-05,-9.311892e+03,-1.050687e-03,-9.297638e+03,-1.049079e-03,0,1.221743e-01
0.2200,2.04371000e-04,1.34668336e-05,-9.109066e+03,-1.027802e-03,-9.147521e+03,-1.032141e-03,0,1.293956e-01
0.2250,2.03844000e-04,1.34321074e-05,-8.804003e+03,-9.933805e-04,-8.774813e+03,-9.900870e-04,0,1.341181e-01
0.2300,2.03632000e-04,1.34181379e-05,-8.309084e+03,-9.375374e-04,-8.210397e+03,-9.264023e-04,0,1.359185e-01
0.2350,2.03758000e-04,1.34264405e-05,-7.553342e+03,-8.522649e-04,-7.490502e+03,-8.451745e-04,0,1.369077e-01
0.2400,2.04249000e-04,1.34587945e-05,-6.556346e+03,-7.397711e-04,-6.652371e+03,-7.506059e-04,0,1.403798e-01
0.2450,2.05091000e-04,1.35142773e-05,-5.473816e+03,-6.176261e-04,-5.730405e+03,-6.465778e-04,0,1.455929e-01
0.2500,2.06207000e-04,1.35878151e-05,-4.473457e+03,-5.047528e-04,-4.753468e+03,-5.363472e-04,0,1.514429e-01
0.2550,2.07529000e-04,1.36749270e-05,-3.534055e+03,-3.987574e-04,-3.743999e+03,-4.224460e-04,0,1.570598e-01
0.2600,2.08915000e-04,1.37662562e-05,-2.585478e+03,-2.917268e-04,-2.719305e+03,-3.068269e-04,0,1.615388e-01
