Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
0.0,0.0,0.0,0.0,0.0,2.9346,12.645900000000001,-9.385679999999999,,2500.0,2500.0,0.0
-0.0013333,0.00015443464923225585,0.00010162264652766883,0.00012802864787996233,-2.112480108183481e-08,2.9436,12.663900000000002,-9.366480000000001,,,,8.108108108108109
-0.00081175,5.005986871358822e-05,-3.020131785788415e-06,2.3519868463899905e-05,-2.1232000199750656e-08,2.9296,12.6269,-9.373679999999998,,,,16.216216216216218
0.00023471,-2.1650110168193652e-06,-5.5505010401595815e-05,-2.883501070920759e-05,-2.133599975391058e-08,2.9416,12.6569,-9.378479999999998,,,,24.324324324324326
0.00075629,-0.0002636801004894843,-3.021114393087532e-06,-0.00013335060744128593,1.0426359443855872e-07,2.9286,12.6329,-9.364080000000001,,,,32.432432432432435
0.0020896,-0.00015634164839714408,-0.00010464587109551679,-0.00013049375974633044,2.0678310920650918e-08,2.9406,12.6629,-9.388079999999999,,,,40.54054054054055
0.0013271,-0.00036360032579788997,-4.976135174365058e-05,-0.00020668083877077028,1.2553558962169575e-07,2.9386,12.7927,-9.378479999999998,,,,48.64864864864865
-0.00019839,-0.00041060097415308215,-0.00014865950345178906,-0.0002796302388024356,1.0477658828051722e-07,2.9635,13.3231,-9.352079999999999,,,,56.75675675675676
-0.00023799,-0.0007819243890466633,-0.00020633300281318665,-0.0004941286959299249,2.3023655449339068e-07,2.9985,13.857400000000002,-9.589440000000002,,,,64.86486486486487
-0.00023799,-0.0013052196706079982,-0.0003107149920190858,-0.0008079673313135421,3.978018714355649e-07,3.0564,14.4707,-9.824399999999999,,,,72.97297297297298
0.00076558,-0.0016237855898863526,-0.00042055008185008677,-0.0010221678358682197,4.812942032145063e-07,3.0634,15.087900000000001,-9.819600000000001,,,,81.0810810810811
0.0010066,-0.00183524452902387,-0.0005801501353339075,-0.0012076973321788888,5.020377574759851e-07,3.0704,15.462399999999999,-9.69744,,,,89.1891891891892
0.00076558,-0.0020421792831227165,-0.0009438999390331052,-0.0014930396110779108,4.3931173763584453e-07,3.0444,15.8859,-9.352079999999997,,,,97.2972972972973
-4.2882e-05,-0.0022545639837551054,-0.0011569197326749957,-0.0017057418582150504,4.3905770043204386e-07,3.0325,16.3932,-9.06912,,,,105.40540540540542
-1.7576e-08,-0.003140148027891596,-0.001570469506724796,-0.0023553087673081957,6.2787140846672e-07,3.0654,16.8799,-9.14904,,,,113.51351351351352
-0.000482,-0.004287646369676296,-0.00203649921699835,-0.003162072793337323,9.004588610711782e-07,3.0924,17.3467,-9.29112,,,,121.62162162162163
